Data ID,Dosage (g),pH,Initial dye concentration (ppm),Contact time (min),Average qe (mg g-1),Dye volume (mL),Adsorbent dosage:dye volume ratio
1,0.0104,5.6,53.4893615317312,120,56.41512319511201,0.02,0.52
2,0.02,5.6,53.4893615317312,120,43.29446343157924,0.02,1.0
3,0.0311,5.6,53.4893615317312,120,31.409412401230902,0.02,1.555
4,0.0411,5.6,53.4893615317312,120,24.90861206775064,0.02,2.055
5,0.06,5.6,53.4893615317312,120,17.341085022988114,0.02,3.0
6,0.0799,5.6,53.4893615317312,120,13.047065988700274,0.02,3.995
7,0.0109,5.6,53.4893615317312,120,53.874076254202016,0.02,0.545
8,0.0204,5.6,53.4893615317312,120,42.453198862098816,0.02,1.02
9,0.0301,5.6,53.4893615317312,120,32.45242557523522,0.02,1.505
10,0.0408,5.6,53.4893615317312,120,25.08958029304609,0.02,2.04
11,0.0601,5.6,53.4893615317312,120,17.312117037873982,0.02,3.005
12,0.0798,5.6,53.4893615317312,120,13.07755374328614,0.02,3.99
13,0.0399,3.11,51.26726611286966,120,19.220523232816905,0.02,1.995
14,0.04,3.74,46.60478996358073,120,21.42204396339253,0.02,2.0
15,0.0414,7.5,45.53494667251296,120,20.994811633994583,0.02,2.07
16,0.041,10.1,43.70331217051981,120,20.342553663092712,0.02,2.05
17,0.0394,3.11,51.26726611286966,120,19.44123175951188,0.02,1.97
18,0.0401,3.74,46.60478996358073,120,21.369576553150228,0.02,2.005
19,0.0404,7.5,45.53494667251296,120,21.50940991616685,0.02,2.02
20,0.0412,10.1,43.70331217051981,120,20.27121110343357,0.02,2.06
21,0.0493,5.57,50.56247081934865,5,13.07104219594778,0.025,1.972
22,0.0499,5.57,50.56247081934865,10,18.495790704006392,0.025,1.996
23,0.05,5.57,50.56247081934865,15,18.65502523851053,0.025,2.0
24,0.0497,5.57,50.56247081934865,20,19.986214848044195,0.025,1.988
25,0.0498,5.57,50.56247081934865,25,20.376483779847494,0.025,1.992
26,0.0495,5.57,50.56247081934865,30,20.923311179396173,0.025,1.98
27,0.049,5.57,50.56247081934865,60,22.080213464386254,0.025,1.96
28,0.0493,5.57,50.56247081934865,90,22.28526645605583,0.025,1.972
29,0.0495,5.57,50.56247081934865,120,24.160956446429104,0.025,1.98
30,0.0488,5.57,50.56247081934865,150,24.48525619835665,0.025,1.952
31,0.049,5.57,50.56247081934865,180,24.494600556996502,0.025,1.96
32,0.049,5.57,50.56247081934865,5,13.096572966774913,0.025,1.96
33,0.0502,5.57,50.56247081934865,10,18.36387108349288,0.025,2.008
34,0.0495,5.57,50.56247081934865,15,18.836452476347823,0.025,1.98
35,0.0495,5.57,50.56247081934865,20,20.04127357598644,0.025,1.98
36,0.05,5.57,50.56247081934865,25,20.232652378057917,0.025,2.0
37,0.0495,5.57,50.56247081934865,30,20.84623021354965,0.025,1.98
38,0.0488,5.57,50.56247081934865,60,22.142274638723137,0.025,1.952
